utc_timestamp,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,KV
2011-01-01 00:00:00,700.3243243243242,6938.0,1473.0,9964.0,4677.0,6643.0,6704.0,50779.1209,3683.0,923.0,24709.0,10496.0,68546.0,37232.0417,4903.0,1962.0,4070.0,3061.0,26553.0,1039.0,497.0,655.0,547.0,1264.0,10684.0,16180.0,13766.0,5328.0,6132.0,6105.0,17565.0,1146.0,3168.0,1085.3333333333335
2011-01-01 01:00:00,651.0135135135134,6575.0,1407.0,9456.0,4487.0,6730.0,6693.0,48610.989,3525.0,890.0,22895.0,10276.0,66091.0,36540.4583,4579.0,1949.0,3746.0,2812.0,25079.0,992.0,473.0,641.0,514.0,1175.0,10117.0,15959.0,13049.0,5107.0,5912.0,5758.0,17148.0,1093.0,3035.0,1023.6444444444445
2011-01-01 02:00:00,612.2297297297296,6234.0,1342.0,8917.0,4151.0,6667.0,6563.0,46705.4945,3383.0,872.0,21429.0,10174.0,62823.0,34581.6667,4305.0,1856.0,3533.0,2593.0,23746.0,957.0,457.0,613.0,482.0,1105.0,9558.0,15815.0,12559.0,4776.0,5875.0,5439.0,16765.0,1045.0,2967.0,966.9333333333334
2011-01-01 03:00:00,585.0810810810809,6126.0,1299.0,8587.0,4132.0,6356.0,6474.0,45581.3187,3287.0,869.0,20425.0,10171.0,60649.0,32574.3333,4160.0,1790.0,3430.0,2413.0,22950.0,950.0,445.0,619.0,464.0,1056.0,9204.0,15548.0,12281.0,4456.0,5743.0,5179.0,16527.0,1020.0,2949.0,920.7111111111111
2011-01-01 04:00:00,571.2297297297296,6141.0,1277.0,8445.0,4099.0,6252.0,6264.0,43871.4286,3268.0,874.0,19996.0,10207.0,59922.0,30409.25,4153.0,1785.0,3449.0,2284.0,22792.0,960.0,438.0,640.0,460.0,1031.0,9120.0,15570.0,12173.0,4291.0,5618.0,5019.0,16437.0,1026.0,2923.0,892.2666666666667
2011-01-01 05:00:00,566.7972972972972,6065.0,1303.0,8381.0,3971.0,6001.0,6170.0,40718.6813,3354.0,886.0,19901.0,10102.0,59350.0,29255.6667,4118.0,1818.0,3505.0,2210.0,23328.0,975.0,415.0,655.0,454.0,1023.0,9255.0,15738.0,12155.0,4199.0,5514.0,4922.0,16476.0,1059.0,2925.0,875.0222222222222
2011-01-01 06:00:00,544.635135135135,6353.0,1318.0,8208.0,4013.0,5733.0,6113.0,40741.7582,3451.0,901.0,20015.0,10288.0,59619.0,29049.125,4213.0,1800.0,3523.0,2201.0,23572.0,970.0,427.0,664.0,464.0,983.0,9492.0,15860.0,12100.0,4177.0,5400.0,4918.0,16719.0,1099.0,2881.0,874.3111111111111
2011-01-01 07:00:00,559.5945945945945,6738.0,1428.0,8245.0,4160.0,5549.0,5991.0,41421.978,3499.0,915.0,19671.0,10288.0,59544.0,28665.875,4652.0,1891.0,3643.0,2200.0,23739.0,1003.0,432.0,673.0,493.0,1010.0,9842.0,15995.0,12056.0,3982.0,5445.0,5194.0,16993.0,1154.0,2941.0,923.3777777777779
2011-01-01 08:00:00,593.3918918918918,7200.0,1552.0,8570.0,4298.0,5752.0,6410.0,43984.6154,3567.0,951.0,19956.0,10321.0,61378.0,29353.5,5185.0,1953.0,3843.0,2100.0,25316.0,1066.0,436.0,698.0,528.0,1071.0,10276.0,16237.0,12510.0,3954.0,5460.0,5517.0,17182.0,1232.0,3097.0,980.8000000000001
2011-01-01 09:00:00,619.9864864864863,7605.0,1639.0,9030.0,4508.0,5940.0,6740.0,46985.7143,3780.0,977.0,21485.0,10563.0,63439.0,32466.25,5627.0,2093.0,4007.0,2282.0,26958.0,1109.0,456.0,713.0,549.0,1119.0,11042.0,16702.0,13008.0,4281.0,5432.0,5745.0,17363.0,1265.0,3169.0,1021.3333333333334
2011-01-01 10:00:00,640.4864864864863,7682.0,1674.0,9445.0,4538.0,5758.0,6737.0,50285.7143,3876.0,988.0,22895.0,10738.0,65411.0,35885.7917,5739.0,2165.0,4110.0,2591.0,28333.0,1125.0,480.0,721.0,555.0,1156.0,11654.0,16873.0,13415.0,4721.0,5424.0,5879.0,17761.0,1175.0,3245.0,1045.1555555555556
2011-01-01 11:00:00,652.1216216216214,7489.0,1654.0,9729.0,4499.0,6095.0,6923.0,51535.1648,3914.0,986.0,23605.0,10774.0,68526.0,38826.375,5427.0,2148.0,4149.0,2878.0,28586.0,1132.0,492.0,756.0,552.0,1177.0,11864.0,17173.0,13813.0,5090.0,5419.0,5917.0,18202.0,1154.0,3217.0,1051.911111111111
2011-01-01 12:00:00,710.2972972972972,7421.0,1673.0,9797.0,4382.0,6382.0,7048.0,50853.8462,3867.0,996.0,24428.0,10997.0,66025.0,40617.9167,4835.0,2054.0,4079.0,3126.0,27245.0,1135.0,484.0,742.0,538.0,1282.0,11894.0,17301.0,14266.0,5198.0,5411.0,5826.0,18305.0,1113.0,3171.0,1035.7333333333333
